Mount     Mount start         20161014.09:55:51.565	Mount start                                                                                        
Mount     Mount start         20161014.10:25:29.320	Mount start                                                                                        
Mount     Mount start         20161014.10:26:22.104	Mount start                                                                                        
Mount     Mount start         20161014.10:26:55.787	Mount start                                                                                        
Mount     Mount start         20161014.11:44:35.904	Mount start                                                                                        
Mount     Mount start         20161014.11:46:24.159	Mount start                                                                                        
Mount     Mount start         20161014.11:49:38.598	Mount start                                                                                        
Mount     Mount start         20161014.11:53:25.402	Mount start                                                                                        
Mount     Mount start         20161014.11:59:43.854	Mount start                                                                                        
Mount     Mount start         20161014.12:01:23.314	Mount start                                                                                        
Mount     Mount start         20161014.12:54:26.882	Mount start                                                                                        
Mount     Mount start         20161014.12:56:39.223	Mount start                                                                                        
Mount     Mount start         20161014.13:02:00.328	Mount start                                                                                        
Mount     Mount start         20161014.13:11:07.191	Mount start                                                                                        
Mount     Mount close         20161014.13:11:17.206	Mount close                                                                                        
Mount     Mount start         20161014.13:11:28.938	Mount start                                                                                        
Mount     Mount start         20161014.13:32:18.552	Mount start                                                                                        
Mount     Mount start         20161014.13:38:06.631	Mount start                                                                                        
Mount     Mount start         20161014.13:44:16.906	Mount start                                                                                        
Mount     Mount start         20161014.13:47:43.367	Mount start                                                                                        
Mount     Mount start         20161014.14:02:33.543	Mount start                                                                                        
Mount     Mount start         20161014.14:58:35.498	Mount start                                                                                        
Mount     Mount start         20161014.15:55:49.467	Mount start                                                                                        
Mount     Mount start         20161014.15:56:55.637	Mount start                                                                                        
Mount     Mount start         20161014.15:57:55.939	Mount start                                                                                        
Mount     Mount start         20161014.16:00:58.768	Mount start                                                                                        
Mount     Mount start         20161014.16:49:25.771	Mount start                                                                                        
Mount     Mount start         20161014.17:03:54.969	Mount start                                                                                        
Mount     Mount start         20161014.17:10:30.565	Mount start                                                                                        
Mount     Mount start         20161014.17:24:09.397	Mount start                                                                                        
Mount     Mount start         20161014.18:23:10.556	Mount start                                                                                        
Mount     Mount start         20161014.19:40:22.069	Mount start                                                                                        
Mount     Mount start         20161014.23:15:56.360	Mount start                                                                                        
