Mount     AZ  LIMIT+          20160912.11:08:44.559    	AZ  LIMIT+                                                                                         
Mount     AZ  LIMIT-          20160912.11:08:44.560    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160912.11:08:44.560    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT+          20160912.11:08:46.681    	AZ  LIMIT+                                                                                         
Mount     AZ  LIMIT-          20160912.11:08:46.681    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160912.11:08:46.681    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT+          20160912.11:08:48.687    	AZ  LIMIT+                                                                                         
Mount     AZ  LIMIT-          20160912.11:08:48.687    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160912.11:08:48.688    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT+          20160912.11:08:50.662    	AZ  LIMIT+                                                                                         
Mount     AZ  LIMIT-          20160912.11:08:50.663    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160912.11:08:50.663    	ALT  LIMIT-                                                                                        
