Mount     Mount start         20160905.10:06:44.887	Mount start                                                                                        
Mount     Mount start         20160905.10:06:54.978	Mount start                                                                                        
Mount     Mount start         20160905.10:08:41.090	Mount start                                                                                        
Mount     Mount start         20160905.10:22:30.959	Mount start                                                                                        
Mount     Mount start         20160905.11:33:52.272	Mount start                                                                                        
Mount     Mount start         20160905.11:44:16.319	Mount start                                                                                        
Mount     Mount start         20160905.11:55:55.046	Mount start                                                                                        
Mount     Mount start         20160905.12:02:32.337	Mount start                                                                                        
Mount     Mount start         20160905.12:03:02.299	Mount start                                                                                        
Mount     Mount start         20160905.12:03:10.813	Mount start                                                                                        
Mount     Mount start         20160905.12:03:53.065	Mount start                                                                                        
Mount     Mount start         20160905.12:05:08.011	Mount start                                                                                        
Mount     Mount start         20160905.12:07:05.468	Mount start                                                                                        
Mount     Mount start         20160905.12:09:00.163	Mount start                                                                                        
Mount     Mount start         20160905.12:09:26.085	Mount start                                                                                        
Mount     Mount start         20160905.12:09:47.455	Mount start                                                                                        
Mount     Mount start         20160905.12:10:11.874	Mount start                                                                                        
Mount     Mount start         20160905.12:10:27.463	Mount start                                                                                        
Mount     Mount start         20160905.12:10:46.110	Mount start                                                                                        
Mount     Mount start         20160905.12:13:28.270	Mount start                                                                                        
Mount     Mount start         20160905.15:15:53.196	Mount start                                                                                        
Mount     Mount start         20160905.15:19:51.489	Mount start                                                                                        
Mount     Mount start         20160905.15:24:17.384	Mount start                                                                                        
Mount     Mount start         20160905.15:26:50.166	Mount start                                                                                        
Mount     Mount start         20160905.15:29:35.633	Mount start                                                                                        
Mount     Mount start         20160905.15:30:54.993	Mount start                                                                                        
Mount     Mount start         20160905.15:33:10.886	Mount start                                                                                        
Mount     Mount start         20160905.15:36:00.743	Mount start                                                                                        
Mount     Mount start         20160905.15:38:44.499	Mount start                                                                                        
Mount     Mount start         20160905.15:39:11.015	Mount start                                                                                        
Mount     Mount start         20160905.15:42:36.681	Mount start                                                                                        
Mount     Mount start         20160905.15:51:32.374	Mount start                                                                                        
Mount     Mount start         20160905.15:53:05.425	Mount start                                                                                        
Mount     Mount start         20160905.15:57:40.793	Mount start                                                                                        
Mount     Mount start         20160905.16:01:18.320	Mount start                                                                                        
Mount     Mount start         20160905.16:07:21.625	Mount start                                                                                        
Mount     Mount start         20160905.16:13:11.600	Mount start                                                                                        
Mount     Mount start         20160905.16:15:59.822	Mount start                                                                                        
Mount     Mount start         20160905.16:18:08.337	Mount start                                                                                        
Mount     Mount start         20160905.16:18:34.999	Mount start                                                                                        
Mount     Mount start         20160905.16:24:40.244	Mount start                                                                                        
Mount     Mount start         20160905.16:26:16.907	Mount start                                                                                        
Mount     Mount start         20160905.16:27:12.451	Mount start                                                                                        
Mount     Mount start         20160905.16:28:39.016	Mount start                                                                                        
Mount     Mount start         20160905.16:30:40.307	Mount start                                                                                        
Mount     Mount start         20160905.16:31:59.294	Mount start                                                                                        
Mount     Mount start         20160905.16:33:14.884	Mount start                                                                                        
Mount     Mount start         20160905.16:36:24.463	Mount start                                                                                        
Mount     Mount start         20160905.17:18:52.214	Mount start                                                                                        
Mount     Mount start         20160905.17:19:18.042	Mount start                                                                                        
Mount     Mount start         20160905.19:15:49.281	Mount start                                                                                        
Mount     Mount start         20160905.19:18:33.903	Mount start                                                                                        
Mount     Mount start         20160905.19:19:09.078	Mount start                                                                                        
Mount     Mount start         20160905.19:19:20.446	Mount start                                                                                        
Mount     Mount start         20160905.19:25:55.289	Mount start                                                                                        
Mount     Mount start         20160905.19:43:46.448	Mount start                                                                                        
Mount     Mount start         20160905.20:17:08.406	Mount start                                                                                        
Mount     Mount close         20160905.20:17:46.253	Mount close                                                                                        
