Mount     AZ  LIMIT+          20161015.16:26:54.109    	AZ  LIMIT+                                                                                         
Mount     AZ  LIMIT-          20161015.16:26:54.109    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20161015.16:26:54.109    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT+          20161015.16:26:56.218    	AZ  LIMIT+                                                                                         
Mount     AZ  LIMIT-          20161015.16:26:56.218    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20161015.16:26:56.219    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT+          20161015.16:26:58.213    	AZ  LIMIT+                                                                                         
Mount     AZ  LIMIT-          20161015.16:26:58.213    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20161015.16:26:58.214    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT+          20161015.16:27:00.214    	AZ  LIMIT+                                                                                         
Mount     AZ  LIMIT-          20161015.16:27:00.214    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20161015.16:27:00.215    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT+          20161015.16:27:02.220    	AZ  LIMIT+                                                                                         
Mount     AZ  LIMIT-          20161015.16:27:02.220    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20161015.16:27:02.221    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT+          20161015.16:27:04.229    	AZ  LIMIT+                                                                                         
Mount     AZ  LIMIT-          20161015.16:27:04.229    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20161015.16:27:04.230    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT+          20161015.16:27:06.221    	AZ  LIMIT+                                                                                         
Mount     AZ  LIMIT-          20161015.16:27:06.221    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20161015.16:27:06.222    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT+          20161015.16:35:54.903    	AZ  LIMIT+                                                                                         
Mount     AZ  LIMIT-          20161015.16:35:54.907    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20161015.16:35:54.910    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT+          20161015.16:35:57.026    	AZ  LIMIT+                                                                                         
Mount     AZ  LIMIT-          20161015.16:35:57.026    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20161015.16:35:57.027    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT+          20161015.16:35:59.035    	AZ  LIMIT+                                                                                         
Mount     AZ  LIMIT-          20161015.16:35:59.035    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20161015.16:35:59.036    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT+          20161015.16:36:01.030    	AZ  LIMIT+                                                                                         
Mount     AZ  LIMIT-          20161015.16:36:01.032    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20161015.16:36:01.032    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT+          20161015.16:36:03.036    	AZ  LIMIT+                                                                                         
Mount     AZ  LIMIT-          20161015.16:36:03.036    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20161015.16:36:03.037    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT+          20161015.16:36:05.031    	AZ  LIMIT+                                                                                         
Mount     AZ  LIMIT-          20161015.16:36:05.031    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20161015.16:36:05.032    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT+          20161015.16:36:07.033    	AZ  LIMIT+                                                                                         
Mount     AZ  LIMIT-          20161015.16:36:07.033    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20161015.16:36:07.034    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT+          20161015.16:36:09.033    	AZ  LIMIT+                                                                                         
Mount     AZ  LIMIT-          20161015.16:36:09.033    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20161015.16:36:09.034    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT+          20161015.16:36:11.031    	AZ  LIMIT+                                                                                         
