Mount     Mount start         20160904.09:14:27.683	Mount start                                                                                        
Mount     Mount start         20160904.09:19:47.138	Mount start                                                                                        
Mount     Mount start         20160904.09:20:43.652	Mount start                                                                                        
Mount     Mount start         20160904.09:22:12.811	Mount start                                                                                        
Mount     Mount start         20160904.09:23:10.698	Mount start                                                                                        
Mount     Mount start         20160904.10:58:29.165	Mount start                                                                                        
Mount     Mount start         20160904.11:00:42.554	Mount start                                                                                        
Mount     Mount start         20160904.11:02:26.865	Mount start                                                                                        
Mount     Mount close         20160904.11:02:56.291	Mount close                                                                                        
Mount     Mount start         20160904.11:31:59.787	Mount start                                                                                        
Mount     Mount start         20160904.11:34:00.979	Mount start                                                                                        
Mount     Mount start         20160904.11:34:23.988	Mount start                                                                                        
Mount     Mount start         20160904.11:35:09.871	Mount start                                                                                        
Mount     Mount start         20160904.11:35:43.168	Mount start                                                                                        
Mount     Mount start         20160904.11:39:06.387	Mount start                                                                                        
Mount     Mount start         20160904.11:39:35.755	Mount start                                                                                        
Mount     Mount start         20160904.12:09:27.783	Mount start                                                                                        
Mount     Mount start         20160904.15:10:22.723	Mount start                                                                                        
Mount     Mount start         20160904.15:11:20.165	Mount start                                                                                        
Mount     Mount start         20160904.21:04:11.704	Mount start                                                                                        
Mount     Mount start         20160904.22:04:57.343	Mount start                                                                                        
Mount     Mount close         20160904.22:05:28.137	Mount close                                                                                        
