Mount     AZ  LIMIT+          20160714.10:04:37.554    	AZ  LIMIT+                                                                                         
Mount     AZ  LIMIT-          20160714.10:04:37.554    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160714.10:04:37.554    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT+          20160714.10:04:39.623    	AZ  LIMIT+                                                                                         
Mount     AZ  LIMIT-          20160714.10:04:39.623    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160714.10:04:39.623    	ALT  LIMIT-                                                                                        
Mount     Az  LIMIT+          20160714.10:06:19.220    	Az LIMIT+                                                                                          
Mount     Az  LIMIT-          20160714.10:06:19.221    	Az LIMIT-                                                                                          
Mount     Alt  LIMIT-         20160714.10:06:19.221    	Alt LIMIT-                                                                                         
Mount     AZ  LIMIT+          20160714.10:06:58.343    	AZ  LIMIT+                                                                                         
Mount     AZ  LIMIT-          20160714.10:06:58.343    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160714.10:06:58.343    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT+          20160714.10:07:00.424    	AZ  LIMIT+                                                                                         
Mount     AZ  LIMIT-          20160714.10:07:00.424    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160714.10:07:00.424    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT+          20160714.10:07:02.427    	AZ  LIMIT+                                                                                         
Mount     AZ  LIMIT-          20160714.10:07:02.427    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160714.10:07:02.427    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT+          20160714.10:07:04.425    	AZ  LIMIT+                                                                                         
Mount     AZ  LIMIT-          20160714.10:07:04.425    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160714.10:07:04.425    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT+          20160714.10:07:06.426    	AZ  LIMIT+                                                                                         
Mount     AZ  LIMIT-          20160714.10:07:06.426    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160714.10:07:06.426    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT+          20160714.10:07:08.433    	AZ  LIMIT+                                                                                         
Mount     AZ  LIMIT-          20160714.10:07:08.433    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160714.10:07:08.434    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT+          20160714.10:07:10.435    	AZ  LIMIT+                                                                                         
Mount     AZ  LIMIT-          20160714.10:07:10.435    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160714.10:07:10.435    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT+          20160714.10:07:12.431    	AZ  LIMIT+                                                                                         
Mount     AZ  LIMIT-          20160714.10:07:12.431    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160714.10:07:12.431    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT+          20160714.10:07:14.431    	AZ  LIMIT+                                                                                         
Mount     AZ  LIMIT-          20160714.10:07:14.431    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160714.10:07:14.431    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT+          20160714.10:07:16.426    	AZ  LIMIT+                                                                                         
Mount     AZ  LIMIT-          20160714.10:07:16.426    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160714.10:07:16.426    	ALT  LIMIT-                                                                                        
