Mount     Mount start         20160923.10:42:13.043	Mount start                                                                                        
Mount     Mount start         20160923.10:47:31.765	Mount start                                                                                        
Mount     Mount start         20160923.10:49:38.158	Mount start                                                                                        
Mount     Mount start         20160923.10:52:44.065	Mount start                                                                                        
Mount     Mount start         20160923.10:54:31.705	Mount start                                                                                        
Mount     Mount start         20160923.10:57:40.429	Mount start                                                                                        
Mount     Mount start         20160923.11:01:40.773	Mount start                                                                                        
Mount     Mount close         20160923.11:01:49.005	Mount close                                                                                        
Mount     Mount close         20160923.11:01:59.107	Mount close                                                                                        
Mount     Mount start         20160923.11:02:06.093	Mount start                                                                                        
Mount     Mount start         20160923.11:46:56.094	Mount start                                                                                        
Mount     Mount start         20160923.13:17:01.698	Mount start                                                                                        
Mount     Mount start         20160923.13:18:26.914	Mount start                                                                                        
Mount     Mount start         20160923.15:34:20.104	Mount start                                                                                        
Mount     Mount start         20160923.15:37:08.412	Mount start                                                                                        
Mount     Mount start         20160923.15:43:36.555	Mount start                                                                                        
Mount     Mount start         20160923.17:31:00.423	Mount start                                                                                        
Mount     Mount start         20160923.17:42:01.955	Mount start                                                                                        
Mount     Mount start         20160923.17:47:39.739	Mount start                                                                                        
Mount     Mount start         20160923.17:49:37.303	Mount start                                                                                        
Mount     Mount start         20160923.17:50:10.515	Mount start                                                                                        
Mount     Mount start         20160923.17:55:05.513	Mount start                                                                                        
Mount     Mount start         20160923.17:55:54.553	Mount start                                                                                        
Mount     Mount start         20160923.19:11:19.994	Mount start                                                                                        
Mount     Mount start         20160923.19:12:02.033	Mount start                                                                                        
Mount     Mount start         20160923.19:15:41.158	Mount start                                                                                        
Mount     Mount start         20160923.19:21:40.774	Mount start                                                                                        
Mount     Mount start         20160923.19:25:26.488	Mount start                                                                                        
Mount     Mount start         20160923.19:26:27.823	Mount start                                                                                        
Mount     Mount start         20160923.19:31:03.089	Mount start                                                                                        
Mount     Mount start         20160923.19:31:46.388	Mount start                                                                                        
Mount     Mount start         20160923.19:32:07.883	Mount start                                                                                        
Mount     Mount start         20160923.19:38:04.474	Mount start                                                                                        
Mount     Mount start         20160923.19:41:24.955	Mount start                                                                                        
Mount     Mount start         20160923.19:44:09.161	Mount start                                                                                        
