Mount     ALT  LIMIT-         20160905.11:51:35.189    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:51:37.200    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:51:37.200    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:51:39.199    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:51:39.199    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:51:41.196    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:51:41.196    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:51:43.191    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:51:43.191    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:51:45.190    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:51:45.190    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:51:47.202    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:51:47.202    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:51:49.198    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:51:49.198    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:51:51.195    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:51:51.195    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:51:53.184    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:51:53.184    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:51:55.180    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:51:55.180    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:51:57.179    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:51:57.179    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:51:59.181    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:51:59.181    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:52:01.182    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:52:01.182    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:52:03.190    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:52:03.190    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:52:05.179    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:52:05.179    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:54:16.190    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:54:16.190    	ALT  LIMIT-                                                                                        
Mount     ALT  LIMIT+         20160905.11:54:18.292    	ALT  LIMIT+                                                                                        
Mount     ALT  LIMIT-         20160905.11:54:18.292    	ALT  LIMIT-                                                                                        
