Mount     AZ  LIMIT-          20160713.11:18:21.023    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160713.11:18:21.023    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160713.11:18:23.101    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160713.11:18:23.102    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160713.11:18:25.129    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160713.11:18:25.129    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160713.11:18:27.102    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160713.11:18:27.103    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160713.11:18:29.101    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160713.11:18:29.102    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160713.11:18:31.102    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160713.11:18:31.102    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160713.11:18:33.103    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160713.11:18:33.103    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160713.11:18:35.101    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160713.11:18:35.102    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160713.11:18:37.104    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160713.11:18:37.104    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160713.11:18:39.104    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160713.11:18:39.104    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160713.11:18:41.102    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160713.11:18:41.102    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160713.11:18:43.107    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160713.11:18:43.107    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160713.11:18:45.101    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160713.11:18:45.101    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160713.11:18:47.111    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160713.11:18:47.111    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160713.11:18:49.101    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160713.11:18:49.102    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160713.11:18:51.109    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160713.11:18:51.110    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160713.11:18:53.102    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160713.11:18:53.102    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160713.11:18:55.108    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160713.11:18:55.109    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160713.11:18:57.103    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160713.11:18:57.103    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160713.11:18:59.109    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160713.11:18:59.109    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160713.11:19:01.102    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160713.11:19:01.102    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160713.11:19:03.108    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160713.11:19:03.108    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160713.11:19:05.102    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160713.11:19:05.103    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160713.11:19:07.108    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160713.11:19:07.109    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160713.11:19:09.102    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160713.11:19:09.103    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160713.11:19:11.106    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160713.11:19:11.106    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160713.11:19:13.104    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160713.11:19:13.105    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160713.11:19:15.103    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160713.11:19:15.103    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160713.11:19:17.106    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160713.11:19:17.107    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160713.11:19:19.102    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160713.11:19:19.102    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160713.11:19:21.106    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160713.11:19:21.107    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160713.11:19:23.103    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160713.11:19:23.103    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160713.11:19:25.110    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160713.11:19:25.111    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160713.11:19:27.103    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160713.11:19:27.104    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160713.11:19:29.113    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160713.11:19:29.114    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160713.11:19:31.103    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160713.11:19:31.104    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160713.11:19:33.113    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160713.11:19:33.114    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160713.11:19:35.102    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160713.11:19:35.102    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160713.11:19:37.111    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160713.11:19:37.111    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160713.11:19:39.103    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160713.11:19:39.103    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT-          20160713.11:19:41.107    	AZ  LIMIT-                                                                                         
