Mount     AZ  LIMIT+          20160627.16:22:32.301    	AZ  LIMIT+                                                                                         
Mount     AZ  LIMIT-          20160627.16:22:32.301    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160627.16:22:32.301    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT+          20160627.16:22:34.364    	AZ  LIMIT+                                                                                         
Mount     AZ  LIMIT-          20160627.16:22:34.364    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160627.16:22:34.365    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT+          20160627.16:22:36.364    	AZ  LIMIT+                                                                                         
Mount     AZ  LIMIT-          20160627.16:22:36.365    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160627.16:22:36.365    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT+          20160627.16:22:38.366    	AZ  LIMIT+                                                                                         
Mount     AZ  LIMIT-          20160627.16:22:38.366    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160627.16:22:38.366    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT+          20160627.16:22:40.365    	AZ  LIMIT+                                                                                         
Mount     AZ  LIMIT-          20160627.16:22:40.365    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160627.16:22:40.365    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT+          20160627.16:22:42.365    	AZ  LIMIT+                                                                                         
Mount     AZ  LIMIT-          20160627.16:22:42.365    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160627.16:22:42.365    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT+          20160627.16:22:44.365    	AZ  LIMIT+                                                                                         
Mount     AZ  LIMIT-          20160627.16:22:44.365    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160627.16:22:44.365    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT+          20160627.16:22:46.365    	AZ  LIMIT+                                                                                         
Mount     AZ  LIMIT-          20160627.16:22:46.365    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160627.16:22:46.365    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT+          20160627.16:22:48.364    	AZ  LIMIT+                                                                                         
Mount     AZ  LIMIT-          20160627.16:22:48.364    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160627.16:22:48.364    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT+          20160627.16:22:50.365    	AZ  LIMIT+                                                                                         
Mount     AZ  LIMIT-          20160627.16:22:50.365    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160627.16:22:50.365    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT+          20160627.16:22:52.364    	AZ  LIMIT+                                                                                         
Mount     AZ  LIMIT-          20160627.16:22:52.364    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160627.16:22:52.365    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT+          20160627.16:22:54.365    	AZ  LIMIT+                                                                                         
Mount     AZ  LIMIT-          20160627.16:22:54.365    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160627.16:22:54.365    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT+          20160627.16:22:56.365    	AZ  LIMIT+                                                                                         
Mount     AZ  LIMIT-          20160627.16:22:56.365    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160627.16:22:56.365    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT+          20160627.16:22:58.364    	AZ  LIMIT+                                                                                         
Mount     AZ  LIMIT-          20160627.16:22:58.364    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160627.16:22:58.364    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT+          20160627.16:23:00.364    	AZ  LIMIT+                                                                                         
Mount     AZ  LIMIT-          20160627.16:23:00.364    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160627.16:23:00.364    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT+          20160627.16:23:02.365    	AZ  LIMIT+                                                                                         
Mount     AZ  LIMIT-          20160627.16:23:02.365    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160627.16:23:02.365    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT+          20160627.16:23:04.365    	AZ  LIMIT+                                                                                         
Mount     AZ  LIMIT-          20160627.16:23:04.365    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160627.16:23:04.366    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT+          20160627.16:23:06.364    	AZ  LIMIT+                                                                                         
Mount     AZ  LIMIT-          20160627.16:23:06.365    	AZ  LIMIT-                                                                                         
Mount     ALT  LIMIT-         20160627.16:23:06.365    	ALT  LIMIT-                                                                                        
Mount     AZ  LIMIT+          20160627.16:23:08.365    	AZ  LIMIT+                                                                                         
