Mount     Mount start         20160627.16:22:29.737	Mount start                                                                                        
Mount     Mount close         20160627.16:25:49.773	Mount close                                                                                        
Mount     Mount start         20160627.16:33:21.754	Mount start                                                                                        
Mount     Mount close         20160627.16:35:48.209	Mount close                                                                                        
Mount     Mount start         20160627.16:36:49.138	Mount start                                                                                        
Mount     Mount close         20160627.16:36:54.981	Mount close                                                                                        
Mount     Mount start         20160627.16:42:37.104	Mount start                                                                                        
Mount     Mount close         20160627.16:44:18.219	Mount close                                                                                        
Mount     Mount start         20160627.16:45:01.541	Mount start                                                                                        
Mount     Mount close         20160627.16:45:49.456	Mount close                                                                                        
Mount     Mount start         20160627.16:47:49.706	Mount start                                                                                        
Mount     Mount close         20160627.16:49:11.570	Mount close                                                                                        
Mount     Mount start         20160627.16:49:35.589	Mount start                                                                                        
Mount     Mount close         20160627.16:49:56.950	Mount close                                                                                        
Mount     Mount start         20160627.16:50:26.756	Mount start                                                                                        
Mount     Mount close         20160627.16:54:28.184	Mount close                                                                                        
Mount     Mount start         20160627.16:55:05.429	Mount start                                                                                        
Mount     Mount start         20160627.16:56:24.398	Mount start                                                                                        
Mount     Mount close         20160627.16:57:09.885	Mount close                                                                                        
Mount     Mount start         20160627.16:57:15.710	Mount start                                                                                        
Mount     Mount close         20160627.16:57:48.249	Mount close                                                                                        
Mount     Mount start         20160627.16:58:31.438	Mount start                                                                                        
Mount     Mount close         20160627.16:59:09.472	Mount close                                                                                        
Mount     Mount start         20160627.16:59:50.832	Mount start                                                                                        
Mount     Mount close         20160627.17:00:25.871	Mount close                                                                                        
Mount     Mount start         20160627.17:01:03.511	Mount start                                                                                        
Mount     Mount close         20160627.17:01:34.690	Mount close                                                                                        
Mount     Mount start         20160627.17:01:52.087	Mount start                                                                                        
Mount     Mount close         20160627.17:01:59.041	Mount close                                                                                        
Mount     Mount start         20160627.17:08:39.464	Mount start                                                                                        
Mount     Mount start         20160627.17:09:51.673	Mount start                                                                                        
Mount     Mount close         20160627.17:10:23.438	Mount close                                                                                        
Mount     Mount start         20160627.17:10:45.838	Mount start                                                                                        
Mount     Mount close         20160627.17:10:48.065	Mount close                                                                                        
Mount     Mount start         20160627.17:14:24.984	Mount start                                                                                        
Mount     Mount close         20160627.17:15:36.408	Mount close                                                                                        
Mount     Mount start         20160627.17:16:01.176	Mount start                                                                                        
Mount     Mount close         20160627.17:17:18.385	Mount close                                                                                        
Mount     Mount start         20160627.17:18:34.635	Mount start                                                                                        
Mount     Mount close         20160627.17:19:15.584	Mount close                                                                                        
Mount     Mount start         20160627.17:19:30.974	Mount start                                                                                        
Mount     Mount close         20160627.17:19:33.417	Mount close                                                                                        
Mount     Mount start         20160627.17:19:54.761	Mount start                                                                                        
Mount     Mount start         20160627.17:21:11.669	Mount start                                                                                        
Mount     Mount start         20160627.17:24:20.315	Mount start                                                                                        
Mount     Mount close         20160627.17:25:44.614	Mount close                                                                                        
Mount     Mount start         20160627.17:26:52.690	Mount start                                                                                        
Mount     Mount close         20160627.17:30:22.848	Mount close                                                                                        
Mount     Mount start         20160627.17:31:28.813	Mount start                                                                                        
Mount     Mount close         20160627.17:37:54.273	Mount close                                                                                        
Mount     Mount start         20160627.17:39:09.274	Mount start                                                                                        
Mount     Mount close         20160627.17:39:13.773	Mount close                                                                                        
