Mount     Mount start         20161015.10:48:48.901	Mount start                                                                                        
Mount     Mount start         20161015.11:26:01.285	Mount start                                                                                        
Mount     Mount start         20161015.11:38:05.349	Mount start                                                                                        
Mount     Mount start         20161015.11:44:22.401	Mount start                                                                                        
Mount     Mount start         20161015.11:54:38.014	Mount start                                                                                        
Mount     Mount start         20161015.12:03:28.199	Mount start                                                                                        
Mount     Mount start         20161015.12:06:22.950	Mount start                                                                                        
Mount     Mount close         20161015.12:06:35.453	Mount close                                                                                        
Mount     Mount start         20161015.12:06:42.568	Mount start                                                                                        
Mount     Mount start         20161015.12:07:04.567	Mount start                                                                                        
Mount     Mount start         20161015.12:08:10.275	Mount start                                                                                        
Mount     Mount start         20161015.12:09:46.491	Mount start                                                                                        
Mount     Mount close         20161015.12:09:52.364	Mount close                                                                                        
Mount     Mount start         20161015.12:09:56.940	Mount start                                                                                        
Mount     Mount start         20161015.12:10:11.861	Mount start                                                                                        
Mount     Mount start         20161015.12:10:59.800	Mount start                                                                                        
Mount     Mount start         20161015.12:11:48.948	Mount start                                                                                        
Mount     Mount start         20161015.12:13:24.908	Mount start                                                                                        
Mount     Mount start         20161015.12:13:59.305	Mount start                                                                                        
Mount     Mount start         20161015.12:18:15.492	Mount start                                                                                        
Mount     Mount start         20161015.12:20:10.449	Mount start                                                                                        
Mount     Mount start         20161015.15:00:25.280	Mount start                                                                                        
Mount     Mount start         20161015.15:00:59.447	Mount start                                                                                        
Mount     Mount start         20161015.15:02:23.200	Mount start                                                                                        
Mount     Mount start         20161015.15:06:59.172	Mount start                                                                                        
Mount     Mount start         20161015.16:00:12.946	Mount start                                                                                        
Mount     Mount start         20161015.16:11:43.720	Mount start                                                                                        
Mount     Mount start         20161015.16:18:17.881	Mount start                                                                                        
Mount     Mount start         20161015.16:35:24.606	Mount start                                                                                        
Mount     Mount start         20161015.16:35:53.209	Mount start                                                                                        
Mount     Mount start         20161015.19:01:47.264	Mount start                                                                                        
Mount     Mount start         20161015.19:04:06.212	Mount start                                                                                        
Mount     Mount start         20161015.19:06:41.628	Mount start                                                                                        
Mount     Mount start         20161015.19:07:46.887	Mount start                                                                                        
Mount     Mount start         20161015.19:08:23.702	Mount start                                                                                        
Mount     Mount start         20161015.19:09:26.073	Mount start                                                                                        
Mount     Mount start         20161015.19:11:20.122	Mount start                                                                                        
Mount     Mount start         20161015.19:12:15.920	Mount start                                                                                        
Mount     Mount start         20161015.19:16:37.025	Mount start                                                                                        
Mount     Mount start         20161015.19:19:41.252	Mount start                                                                                        
