Mount     Mount start         20160902.08:32:55.441	Mount start                                                                                        
Mount     Mount close         20160902.08:33:19.830	Mount close                                                                                        
Mount     Mount start         20160902.08:37:34.920	Mount start                                                                                        
Mount     Mount start         20160902.08:42:18.862	Mount start                                                                                        
Mount     Mount start         20160902.08:43:37.736	Mount start                                                                                        
Mount     Mount start         20160902.08:51:11.499	Mount start                                                                                        
Mount     Mount start         20160902.09:11:10.218	Mount start                                                                                        
Mount     Mount start         20160902.09:32:25.572	Mount start                                                                                        
Mount     Mount start         20160902.09:33:22.402	Mount start                                                                                        
Mount     Mount start         20160902.09:49:12.228	Mount start                                                                                        
Mount     Mount start         20160902.10:01:21.463	Mount start                                                                                        
Mount     Mount close         20160902.10:01:27.512	Mount close                                                                                        
Mount     Mount start         20160902.10:05:27.024	Mount start                                                                                        
Mount     Mount start         20160902.10:05:57.822	Mount start                                                                                        
Mount     Mount start         20160902.10:06:20.255	Mount start                                                                                        
Mount     Mount close         20160902.10:06:25.275	Mount close                                                                                        
Mount     Mount close         20160902.10:06:30.957	Mount close                                                                                        
Mount     Mount start         20160902.10:06:33.539	Mount start                                                                                        
Mount     Mount start         20160902.10:06:38.874	Mount start                                                                                        
Mount     Mount start         20160902.10:07:22.267	Mount start                                                                                        
Mount     Mount start         20160902.10:07:27.058	Mount start                                                                                        
Mount     Mount start         20160902.10:10:19.030	Mount start                                                                                        
Mount     Mount start         20160902.10:12:47.307	Mount start                                                                                        
Mount     Mount start         20160902.10:13:44.769	Mount start                                                                                        
Mount     Mount start         20160902.10:19:08.829	Mount start                                                                                        
Mount     Mount start         20160902.10:20:59.889	Mount start                                                                                        
Mount     Mount start         20160902.10:21:29.635	Mount start                                                                                        
Mount     Mount start         20160902.10:23:20.115	Mount start                                                                                        
Mount     Mount start         20160902.10:25:02.094	Mount start                                                                                        
Mount     Mount start         20160902.10:34:12.606	Mount start                                                                                        
Mount     Mount start         20160902.10:35:27.817	Mount start                                                                                        
Mount     Mount start         20160902.10:37:48.118	Mount start                                                                                        
Mount     Mount start         20160902.10:52:18.397	Mount start                                                                                        
Mount     Mount start         20160902.10:55:16.336	Mount start                                                                                        
Mount     Mount start         20160902.10:55:33.727	Mount start                                                                                        
Mount     Mount start         20160902.10:59:43.984	Mount start                                                                                        
Mount     Mount start         20160902.11:01:18.150	Mount start                                                                                        
Mount     Mount start         20160902.11:02:38.918	Mount start                                                                                        
Mount     Mount start         20160902.11:15:09.754	Mount start                                                                                        
Mount     Mount start         20160902.11:34:30.999	Mount start                                                                                        
Mount     Mount start         20160902.11:36:26.187	Mount start                                                                                        
Mount     Mount start         20160902.11:47:50.904	Mount start                                                                                        
Mount     Mount start         20160902.22:07:05.291	Mount start                                                                                        
