AAT  f/15  1979/06/11
T   49  14.8801    0.000   0.0000
  IA       +112.9219    59.04461
  IE        -14.7733    56.24277
  NPAE      +15.2761    58.86242
  CA        -22.5295    56.18407
  AW       +130.8464     2.54123
  AN        +84.6482     2.51072
  NRX       -17.3712    45.56464
  NRY        +6.3795    37.42514
END
