  yyyymmdd   hhmmss      AZ           ALT         Dero          HA          DEC 
  20160714  105056.50   0.593519039  32.713477239  -141.559927312  -38.9016488  89.2641361
  20160714  105056.60   0.593513700  32.713480904  -141.560340768  -38.9012310  89.2641361
  20160714  105056.70   0.593508361  32.713484569  -141.560754224  -38.9008132  89.2641361
  20160714  105056.80   0.593503021  32.713488233  -141.561167680  -38.9003954  89.2641361
  20160714  105056.90   0.593497682  32.713491898  -141.561581137  -38.8999776  89.2641361
  20160714  105057.00   0.593492343  32.713495563  -141.561994593  -38.8995598  89.2641361
  20160714  105057.10   0.593487003  32.713499227  -141.562408049  -38.8991420  89.2641361
  20160714  105057.20   0.593481664  32.713502892  -141.562821505  -38.8987242  89.2641361
  20160714  105057.30   0.593476325  32.713506556  -141.563234961  -38.8983064  89.2641361
  20160714  105057.40   0.593470985  32.713510221  -141.563648416  -38.8978885  89.2641361
  20160714  105057.50   0.593465646  32.713513885  -141.564061872  -38.8974707  89.2641361
  20160714  105057.60   0.593460306  32.713517550  -141.564475328  -38.8970529  89.2641361
  20160714  105057.70   0.593454967  32.713521214  -141.564888784  -38.8966351  89.2641361
  20160714  105057.80   0.593449627  32.713524879  -141.565302240  -38.8962173  89.2641361
  20160714  105057.90   0.593444287  32.713528543  -141.565715696  -38.8957995  89.2641361
  20160714  105058.00   0.593438948  32.713532207  -141.566129152  -38.8953817  89.2641361
  20160714  105058.10   0.593433608  32.713535872  -141.566542608  -38.8949639  89.2641361
  20160714  105058.20   0.593428268  32.713539536  -141.566956063  -38.8945461  89.2641361
  20160714  105058.30   0.593422928  32.713543200  -141.567369519  -38.8941283  89.2641361
  20160714  105058.40   0.593417589  32.713546864  -141.567782975  -38.8937105  89.2641361
  20160714  105058.50   0.593412249  32.713550528  -141.568196431  -38.8932926  89.2641361
  20160714  105058.60   0.593406909  32.713554193  -141.568609886  -38.8928748  89.2641361
  20160714  105058.70   0.593401569  32.713557857  -141.569023342  -38.8924570  89.2641361
  20160714  105058.80   0.593396229  32.713561521  -141.569436798  -38.8920392  89.2641361
  20160714  105058.90   0.593390889  32.713565185  -141.569850253  -38.8916214  89.2641361
  20160714  105059.00   0.593385549  32.713568849  -141.570263709  -38.8912036  89.2641361
  20160714  105059.10   0.593380209  32.713572513  -141.570677165  -38.8907858  89.2641361
  20160714  105059.20   0.593374869  32.713576177  -141.571090620  -38.8903680  89.2641361
  20160714  105059.30   0.593369529  32.713579841  -141.571504076  -38.8899502  89.2641361
  20160714  105059.40   0.593364189  32.713583504  -141.571917531  -38.8895324  89.2641361
  20160714  105059.50   0.593358849  32.713587168  -141.572330987  -38.8891146  89.2641361
  20160714  105059.60   0.593353509  32.713590832  -141.572744442  -38.8886967  89.2641361
  20160714  105059.70   0.593348169  32.713594496  -141.573157898  -38.8882789  89.2641361
  20160714  105059.80   0.593342828  32.713598160  -141.573571353  -38.8878611  89.2641361
  20160714  105059.90   0.593337488  32.713601823  -141.573984809  -38.8874433  89.2641361
  20160714  105100.00   0.593332148  32.713605487  -141.574398264  -38.8870255  89.2641361
  20160714  105100.10   0.593326807  32.713609151  -141.574811720  -38.8866077  89.2641361
  20160714  105100.20   0.593321467  32.713612814  -141.575225175  -38.8861899  89.2641361
  20160714  105100.30   0.593316127  32.713616478  -141.575638631  -38.8857721  89.2641361
  20160714  105100.40   0.593310786  32.713620141  -141.576052086  -38.8853543  89.2641361
  20160714  105100.50   0.593305446  32.713623805  -141.576465541  -38.8849365  89.2641361
  20160714  105100.60   0.593300105  32.713627468  -141.576878997  -38.8845187  89.2641361
  20160714  105100.70   0.593294765  32.713631132  -141.577292452  -38.8841008  89.2641361
  20160714  105100.80   0.593289424  32.713634795  -141.577705907  -38.8836830  89.2641361
  20160714  105100.90   0.593284084  32.713638458  -141.578119362  -38.8832652  89.2641361
  20160714  105101.00   0.593278743  32.713642122  -141.578532818  -38.8828474  89.2641361
  20160714  105101.10   0.593273402  32.713645785  -141.578946273  -38.8824296  89.2641361
  20160714  105101.20   0.593268062  32.713649448  -141.579359728  -38.8820118  89.2641361
  20160714  105101.30   0.593262721  32.713653112  -141.579773183  -38.8815940  89.2641361
  20160714  105101.40   0.593257380  32.713656775  -141.580186639  -38.8811762  89.2641361
  20160714  105101.50   0.593252039  32.713660438  -141.580600094  -38.8807584  89.2641361
  20160714  105101.60   0.593246698  32.713664101  -141.581013549  -38.8803406  89.2641361
  20160714  105101.70   0.593241358  32.713667764  -141.581427004  -38.8799228  89.2641361
  20160714  105101.80   0.593236017  32.713671427  -141.581840459  -38.8795049  89.2641361
  20160714  105101.90   0.593230676  32.713675090  -141.582253914  -38.8790871  89.2641361
  20160714  105102.00   0.593225335  32.713678753  -141.582667369  -38.8786693  89.2641361
  20160714  105102.10   0.593219994  32.713682416  -141.583080824  -38.8782515  89.2641361
  20160714  105102.20   0.593214653  32.713686079  -141.583494279  -38.8778337  89.2641361
  20160714  105102.30   0.593209312  32.713689742  -141.583907734  -38.8774159  89.2641361
  20160714  105102.40   0.593203971  32.713693405  -141.584321189  -38.8769981  89.2641361
  20160714  105102.50   0.593198630  32.713697068  -141.584734644  -38.8765803  89.2641361
  20160714  105102.60   0.593193289  32.713700731  -141.585148099  -38.8761625  89.2641361
  20160714  105102.70   0.593187947  32.713704393  -141.585561554  -38.8757447  89.2641361
  20160714  105102.80   0.593182606  32.713708056  -141.585975009  -38.8753269  89.2641361
  20160714  105102.90   0.593177265  32.713711719  -141.586388464  -38.8749090  89.2641361
  20160714  105103.00   0.593171924  32.713715382  -141.586801919  -38.8744912  89.2641361
  20160714  105103.10   0.593166582  32.713719044  -141.587215373  -38.8740734  89.2641361
  20160714  105103.20   0.593161241  32.713722707  -141.587628828  -38.8736556  89.2641361
  20160714  105103.30   0.593155900  32.713726369  -141.588042283  -38.8732378  89.2641361
  20160714  105103.40   0.593150558  32.713730032  -141.588455738  -38.8728200  89.2641361
  20160714  105103.50   0.593145217  32.713733694  -141.588869193  -38.8724022  89.2641361
  20160714  105103.60   0.593139875  32.713737357  -141.589282647  -38.8719844  89.2641361
  20160714  105103.70   0.593134534  32.713741019  -141.589696102  -38.8715666  89.2641361
  20160714  105103.80   0.593129192  32.713744682  -141.590109557  -38.8711488  89.2641361
  20160714  105103.90   0.593123851  32.713748344  -141.590523011  -38.8707310  89.2641361
  20160714  105104.00   0.593118509  32.713752007  -141.590936466  -38.8703131  89.2641361
  20160714  105104.10   0.593113168  32.713755669  -141.591349921  -38.8698953  89.2641361
  20160714  105104.20   0.593107826  32.713759331  -141.591763375  -38.8694775  89.2641361
  20160714  105104.30   0.593102484  32.713762993  -141.592176830  -38.8690597  89.2641361
  20160714  105104.40   0.593097143  32.713766656  -141.592590285  -38.8686419  89.2641361
  20160714  105104.50   0.593091801  32.713770318  -141.593003739  -38.8682241  89.2641361
  20160714  105104.60   0.593086459  32.713773980  -141.593417194  -38.8678063  89.2641361
  20160714  105104.70   0.593081117  32.713777642  -141.593830648  -38.8673885  89.2641361
  20160714  105104.80   0.593075775  32.713781304  -141.594244103  -38.8669707  89.2641361
  20160714  105104.90   0.593070433  32.713784966  -141.594657557  -38.8665529  89.2641361
  20160714  105105.00   0.593065092  32.713788628  -141.595071012  -38.8661351  89.2641361
  20160714  105105.10   0.593059750  32.713792290  -141.595484466  -38.8657172  89.2641361
  20160714  105105.20   0.593054408  32.713795952  -141.595897921  -38.8652994  89.2641361
  20160714  105105.30   0.593049066  32.713799614  -141.596311375  -38.8648816  89.2641361
  20160714  105105.40   0.593043724  32.713803276  -141.596724829  -38.8644638  89.2641361
  20160714  105105.50   0.593038381  32.713806938  -141.597138284  -38.8640460  89.2641361
  20160714  105105.60   0.593033039  32.713810600  -141.597551738  -38.8636282  89.2641361
  20160714  105105.70   0.593027697  32.713814261  -141.597965192  -38.8632104  89.2641361
  20160714  105105.80   0.593022355  32.713817923  -141.598378647  -38.8627926  89.2641361
  20160714  105105.90   0.593017013  32.713821585  -141.598792101  -38.8623748  89.2641361
  20160714  105106.00   0.593011671  32.713825247  -141.599205555  -38.8619570  89.2641361
  20160714  105106.10   0.593006328  32.713828908  -141.599619010  -38.8615391  89.2641361
  20160714  105106.20   0.593000986  32.713832570  -141.600032464  -38.8611213  89.2641361
  20160714  105106.30   0.592995644  32.713836231  -141.600445918  -38.8607035  89.2641361
  20160714  105106.40   0.592990301  32.713839893  -141.600859372  -38.8602857  89.2641361
  20160714  105106.50   0.592984959  32.713843554  -141.601272826  -38.8598679  89.2641361
  20160714  105106.60   0.592979617  32.713847216  -141.601686280  -38.8594501  89.2641361
  20160714  105106.70   0.592974274  32.713850877  -141.602099735  -38.8590323  89.2641361
  20160714  105106.80   0.592968932  32.713854539  -141.602513189  -38.8586145  89.2641361
  20160714  105106.90   0.592963589  32.713858200  -141.602926643  -38.8581967  89.2641361
  20160714  105107.00   0.592958247  32.713861862  -141.603340097  -38.8577789  89.2641361
  20160714  105107.10   0.592952904  32.713865523  -141.603753551  -38.8573611  89.2641361
  20160714  105107.20   0.592947561  32.713869184  -141.604167005  -38.8569432  89.2641361
  20160714  105107.30   0.592942219  32.713872845  -141.604580459  -38.8565254  89.2641361
  20160714  105107.40   0.592936876  32.713876507  -141.604993913  -38.8561076  89.2641361
  20160714  105107.50   0.592931533  32.713880168  -141.605407367  -38.8556898  89.2641361
  20160714  105107.60   0.592926191  32.713883829  -141.605820821  -38.8552720  89.2641361
  20160714  105107.70   0.592920848  32.713887490  -141.606234275  -38.8548542  89.2641361
  20160714  105107.80   0.592915505  32.713891151  -141.606647729  -38.8544364  89.2641361
  20160714  105107.90   0.592910162  32.713894812  -141.607061183  -38.8540186  89.2641361
  20160714  105108.00   0.592904819  32.713898473  -141.607474637  -38.8536008  89.2641361
  20160714  105108.10   0.592899476  32.713902134  -141.607888090  -38.8531830  89.2641361
  20160714  105108.20   0.592894133  32.713905795  -141.608301544  -38.8527652  89.2641361
  20160714  105108.30   0.592888790  32.713909456  -141.608714998  -38.8523473  89.2641361
  20160714  105108.40   0.592883447  32.713913117  -141.609128452  -38.8519295  89.2641361
  20160714  105108.50   0.592878104  32.713916778  -141.609541906  -38.8515117  89.2641361
  20160714  105108.60   0.592872761  32.713920439  -141.609955359  -38.8510939  89.2641361
  20160714  105108.70   0.592867418  32.713924100  -141.610368813  -38.8506761  89.2641361
  20160714  105108.80   0.592862075  32.713927760  -141.610782267  -38.8502583  89.2641361
  20160714  105108.90   0.592856732  32.713931421  -141.611195721  -38.8498405  89.2641361
  20160714  105109.00   0.592851389  32.713935082  -141.611609174  -38.8494227  89.2641361
  20160714  105109.10   0.592846045  32.713938742  -141.612022628  -38.8490049  89.2641361
  20160714  105109.20   0.592840702  32.713942403  -141.612436082  -38.8485871  89.2641361
  20160714  105109.30   0.592835359  32.713946064  -141.612849535  -38.8481693  89.2641361
  20160714  105109.40   0.592830016  32.713949724  -141.613262989  -38.8477514  89.2641361
  20160714  105109.50   0.592824672  32.713953385  -141.613676442  -38.8473336  89.2641361
  20160714  105109.60   0.592819329  32.713957045  -141.614089896  -38.8469158  89.2641361
  20160714  105109.70   0.592813985  32.713960706  -141.614503350  -38.8464980  89.2641361
  20160714  105109.80   0.592808642  32.713964366  -141.614916803  -38.8460802  89.2641361
  20160714  105109.90   0.592803298  32.713968027  -141.615330257  -38.8456624  89.2641361
  20160714  105110.00   0.592797955  32.713971687  -141.615743710  -38.8452446  89.2641361
  20160714  105110.10   0.592792611  32.713975347  -141.616157164  -38.8448268  89.2641361
  20160714  105110.20   0.592787268  32.713979008  -141.616570617  -38.8444090  89.2641361
  20160714  105110.30   0.592781924  32.713982668  -141.616984070  -38.8439912  89.2641361
  20160714  105110.40   0.592776580  32.713986328  -141.617397524  -38.8435734  89.2641361
  20160714  105110.50   0.592771237  32.713989988  -141.617810977  -38.8431555  89.2641361
  20160714  105110.60   0.592765893  32.713993648  -141.618224431  -38.8427377  89.2641361
  20160714  105110.70   0.592760549  32.713997309  -141.618637884  -38.8423199  89.2641361
  20160714  105110.80   0.592755206  32.714000969  -141.619051337  -38.8419021  89.2641361
  20160714  105110.90   0.592749862  32.714004629  -141.619464791  -38.8414843  89.2641361
  20160714  105111.00   0.592744518  32.714008289  -141.619878244  -38.8410665  89.2641361
  20160714  105111.10   0.592739174  32.714011949  -141.620291697  -38.8406487  89.2641361
  20160714  105111.20   0.592733830  32.714015609  -141.620705150  -38.8402309  89.2641361
  20160714  105111.30   0.592728486  32.714019269  -141.621118604  -38.8398131  89.2641361
  20160714  105111.40   0.592723142  32.714022929  -141.621532057  -38.8393953  89.2641361
  20160714  105111.50   0.592717798  32.714026588  -141.621945510  -38.8389775  89.2641361
  20160714  105111.60   0.592712454  32.714030248  -141.622358963  -38.8385596  89.2641361
  20160714  105111.70   0.592707110  32.714033908  -141.622772416  -38.8381418  89.2641361
  20160714  105111.80   0.592701766  32.714037568  -141.623185870  -38.8377240  89.2641361
  20160714  105111.90   0.592696422  32.714041228  -141.623599323  -38.8373062  89.2641361
  20160714  105112.00   0.592691078  32.714044887  -141.624012776  -38.8368884  89.2641361
  20160714  105112.10   0.592685734  32.714048547  -141.624426229  -38.8364706  89.2641361
  20160714  105112.20   0.592680389  32.714052207  -141.624839682  -38.8360528  89.2641361
  20160714  105112.30   0.592675045  32.714055866  -141.625253135  -38.8356350  89.2641361
  20160714  105112.40   0.592669701  32.714059526  -141.625666588  -38.8352172  89.2641361
  20160714  105112.50   0.592664356  32.714063185  -141.626080041  -38.8347994  89.2641361
  20160714  105112.60   0.592659012  32.714066845  -141.626493494  -38.8343816  89.2641361
  20160714  105112.70   0.592653668  32.714070504  -141.626906947  -38.8339637  89.2641361
  20160714  105112.80   0.592648323  32.714074164  -141.627320400  -38.8335459  89.2641361
  20160714  105112.90   0.592642979  32.714077823  -141.627733853  -38.8331281  89.2641361
  20160714  105113.00   0.592637634  32.714081483  -141.628147306  -38.8327103  89.2641361
  20160714  105113.10   0.592632290  32.714085142  -141.628560759  -38.8322925  89.2641361
  20160714  105113.20   0.592626945  32.714088801  -141.628974211  -38.8318747  89.2641361
  20160714  105113.30   0.592621601  32.714092461  -141.629387664  -38.8314569  89.2641361
  20160714  105113.40   0.592616256  32.714096120  -141.629801117  -38.8310391  89.2641361
  20160714  105113.50   0.592610911  32.714099779  -141.630214570  -38.8306213  89.2641361
  20160714  105113.60   0.592605567  32.714103438  -141.630628023  -38.8302035  89.2641361
  20160714  105113.70   0.592600222  32.714107097  -141.631041476  -38.8297857  89.2641361
  20160714  105113.80   0.592594877  32.714110756  -141.631454928  -38.8293678  89.2641361
  20160714  105113.90   0.592589532  32.714114416  -141.631868381  -38.8289500  89.2641361
  20160714  105114.00   0.592584188  32.714118075  -141.632281834  -38.8285322  89.2641361
  20160714  105114.10   0.592578843  32.714121734  -141.632695286  -38.8281144  89.2641361
  20160714  105114.20   0.592573498  32.714125393  -141.633108739  -38.8276966  89.2641361
  20160714  105114.30   0.592568153  32.714129052  -141.633522192  -38.8272788  89.2641361
  20160714  105114.40   0.592562808  32.714132710  -141.633935644  -38.8268610  89.2641361
  20160714  105114.50   0.592557463  32.714136369  -141.634349097  -38.8264432  89.2641361
  20160714  105114.60   0.592552118  32.714140028  -141.634762550  -38.8260254  89.2641361
  20160714  105114.70   0.592546773  32.714143687  -141.635176002  -38.8256076  89.2641361
  20160714  105114.80   0.592541428  32.714147346  -141.635589455  -38.8251897  89.2641361
  20160714  105114.90   0.592536083  32.714151005  -141.636002907  -38.8247719  89.2641361
  20160714  105115.00   0.592530738  32.714154663  -141.636416360  -38.8243541  89.2641361
  20160714  105115.10   0.592525393  32.714158322  -141.636829812  -38.8239363  89.2641361
  20160714  105115.20   0.592520047  32.714161981  -141.637243265  -38.8235185  89.2641361
  20160714  105115.30   0.592514702  32.714165639  -141.637656717  -38.8231007  89.2641361
  20160714  105115.40   0.592509357  32.714169298  -141.638070170  -38.8226829  89.2641361
  20160714  105115.50   0.592504012  32.714172956  -141.638483622  -38.8222651  89.2641361
  20160714  105115.60   0.592498666  32.714176615  -141.638897074  -38.8218473  89.2641361
  20160714  105115.70   0.592493321  32.714180273  -141.639310527  -38.8214295  89.2641361
  20160714  105115.80   0.592487976  32.714183932  -141.639723979  -38.8210117  89.2641361
  20160714  105115.90   0.592482630  32.714187590  -141.640137432  -38.8205938  89.2641361
  20160714  105116.00   0.592477285  32.714191249  -141.640550884  -38.8201760  89.2641361
  20160714  105116.10   0.592471939  32.714194907  -141.640964336  -38.8197582  89.2641361
  20160714  105116.20   0.592466594  32.714198565  -141.641377788  -38.8193404  89.2641361
  20160714  105116.30   0.592461248  32.714202224  -141.641791241  -38.8189226  89.2641361
